,timestamp,turbine_id,sensor,rpm,kw,measurement,dF,fft.tracked.HSS1_28Hz.max,fft.tracked.HSS2_56Hz.max,fft.tracked.HSS3_84Hz.max,fft.tracked.random1_40Hz.max,fft.tracked.random2_80Hz.max
70,2016-01-15 18:16:02,T001,SENSOR 4,1672,1577,fft_100,0.125,0.15542455,0.13151307,0.15542455,0.16738027,0.17933601
71,2016-01-15 18:16:02,T001,SENSOR 4,1672,1577,fft_400,0.5,0.11955734,0.095645875,0.10760161,0.095645875,0.077712275
72,2016-01-15 22:49:04,T001,SENSOR 4,1669,1372,fft_4000,1.25,0.113579474,0.08369014,0.08369014,0.08369014,0.06575654
73,2016-01-15 22:49:04,T001,SENSOR 4,1669,1372,fft_100,0.125,0.13151307,0.16738027,0.21520323,0.14944668,0.18531388
74,2016-01-15 22:49:04,T001,SENSOR 4,1669,1372,fft_400,0.5,0.10760161,0.10760161,0.13151307,0.11955734,0.08369014
75,2016-01-17 16:16:05,T001,SENSOR 4,1675,1446,fft_4000,1.25,0.13151307,0.08369014,0.071734406,0.071734406,0.06575654
76,2016-01-17 16:16:05,T001,SENSOR 4,1675,1446,fft_100,0.125,0.15542455,0.14944668,0.17335814,0.17933601,0.17335814
77,2016-01-17 16:16:05,T001,SENSOR 4,1675,1446,fft_400,0.5,0.13749094,0.11955734,0.095645875,0.10760161,0.095645875
78,2016-01-19 20:44:01,T001,SENSOR 4,1684,1366,fft_4000,1.25,0.10760161,0.08369014,0.071734406,0.08369014,0.071734406
79,2016-01-19 20:44:01,T001,SENSOR 4,1684,1366,fft_100,0.125,0.16738027,0.11955734,0.16738027,0.13151307,0.16738027
80,2016-01-19 20:44:01,T001,SENSOR 4,1684,1366,fft_400,0.5,0.089668006,0.14944668,0.095645875,0.15542455,0.095645875
81,2016-01-19 20:57:03,T001,SENSOR 4,1684,1473,fft_4000,1.25,0.10760161,0.089668006,0.05977867,0.08369014,0.071734406
82,2016-01-19 20:57:03,T001,SENSOR 4,1684,1473,fft_100,0.125,0.18531388,0.20324749,0.16738027,0.16738027,0.20324749
83,2016-01-19 20:57:03,T001,SENSOR 4,1684,1473,fft_400,0.5,0.089668006,0.13151307,0.095645875,0.10760161,0.10760161
84,2016-01-19 21:51:00,T001,SENSOR 4,1680,1381,fft_4000,1.25,0.13151307,0.10760161,0.08369014,0.089668006,0.08369014
85,2016-01-19 21:51:00,T001,SENSOR 4,1680,1381,fft_100,0.125,0.19129175,0.16140242,0.16140242,0.17335814,0.17933601
86,2016-01-19 21:51:00,T001,SENSOR 4,1680,1381,fft_400,0.5,0.13749094,0.06575654,0.10760161,0.14944668,0.10760161
87,2016-01-19 22:43:03,T001,SENSOR 4,1684,1380,fft_4000,1.25,0.1255352,0.10760161,0.071734406,0.089668006,0.071734406
88,2016-01-19 22:43:03,T001,SENSOR 4,1684,1380,fft_100,0.125,0.11955734,0.13151307,0.16738027,0.17933601,0.16738027
89,2016-01-19 22:43:03,T001,SENSOR 4,1684,1380,fft_400,0.5,0.089668006,0.077712275,0.095645875,0.08369014,0.13151307
90,2016-01-20 09:41:03,T001,SENSOR 4,1682,1444,fft_4000,1.25,0.11955734,0.095645875,0.071734406,0.089668006,0.071734406
91,2016-01-20 09:41:03,T001,SENSOR 4,1682,1444,fft_100,0.125,0.14346881,0.14346881,0.13749094,0.11955734,0.20324749
92,2016-01-20 09:41:03,T001,SENSOR 4,1682,1444,fft_400,0.5,0.13749094,0.077712275,0.095645875,0.13151307,0.13151307
93,2016-01-20 14:58:01,T001,SENSOR 4,1680,1639,fft_4000,1.25,0.14944668,0.10760161,0.08369014,0.089668006,0.071734406
94,2016-01-20 14:58:01,T001,SENSOR 4,1680,1639,fft_100,0.125,0.29889336,0.37062776,0.31682697,0.31682697,0.31682697
95,2016-01-20 14:58:01,T001,SENSOR 4,1680,1639,fft_400,0.5,0.17335814,0.16738027,0.16738027,0.22118108,0.16738027
96,2016-01-20 15:40:00,T001,SENSOR 4,1684,1397,fft_4000,1.25,0.11955734,0.101623744,0.071734406,0.08369014,0.06575654
97,2016-01-20 15:40:00,T001,SENSOR 4,1684,1397,fft_100,0.125,0.17335814,0.14944668,0.16738027,0.23313682,0.15542455
98,2016-01-20 15:40:00,T001,SENSOR 4,1684,1397,fft_400,0.5,0.089668006,0.095645875,0.16738027,0.10760161,0.16738027
99,2016-01-20 16:02:05,T001,SENSOR 4,1684,1359,fft_4000,1.25,0.101623744,0.089668006,0.071734406,0.089668006,0.071734406
100,2016-01-20 16:02:05,T001,SENSOR 4,1684,1359,fft_100,0.125,0.17933601,0.16738027,0.2510704,0.17933601,0.2510704
101,2016-01-20 16:02:05,T001,SENSOR 4,1684,1359,fft_400,0.5,0.10760161,0.1255352,0.11955734,0.089668006,0.11955734
102,2016-01-20 16:40:04,T001,SENSOR 4,1688,1502,fft_4000,1.25,0.10760161,0.08369014,0.089668006,0.071734406,0.071734406
103,2016-01-20 16:40:04,T001,SENSOR 4,1688,1502,fft_100,0.125,0.21520323,0.23313682,0.22118108,0.24509256,0.22118108
104,2016-01-20 16:40:04,T001,SENSOR 4,1688,1502,fft_400,0.5,0.11955734,0.14346881,0.089668006,0.08369014,0.08369014
105,2016-01-20 23:40:02,T001,SENSOR 4,1681,1508,fft_4000,1.25,0.101623744,0.089668006,0.071734406,0.089668006,0.071734406
106,2016-01-20 23:40:02,T001,SENSOR 4,1681,1508,fft_100,0.125,0.17933601,0.15542455,0.14346881,0.16738027,0.23911469
107,2016-01-20 23:40:02,T001,SENSOR 4,1681,1508,fft_400,0.5,0.10760161,0.10760161,0.11955734,0.113579474,0.101623744
108,2016-01-21 03:27:02,T001,SENSOR 4,1686,1498,fft_4000,1.25,0.13151307,0.101623744,0.06575654,0.089668006,0.06575654
109,2016-01-21 03:27:02,T001,SENSOR 4,1686,1498,fft_100,0.125,0.20324749,0.17335814,0.20324749,0.14346881,0.13151307
110,2016-01-21 03:27:02,T001,SENSOR 4,1686,1498,fft_400,0.5,0.11955734,0.10760161,0.089668006,0.095645875,0.095645875
111,2016-01-21 04:26:00,T001,SENSOR 4,1678,1425,fft_4000,1.25,0.16140242,0.089668006,0.071734406,0.089668006,0.071734406
112,2016-01-21 04:26:00,T001,SENSOR 4,1678,1425,fft_100,0.125,0.13151307,0.16738027,0.20324749,0.23911469,0.22118108
113,2016-01-21 04:26:00,T001,SENSOR 4,1678,1425,fft_400,0.5,0.14944668,0.095645875,0.10760161,0.10760161,0.10760161
